Post Content,Dashboard Image URL,Website Link,Hashtags,Features Highlights,Description,Title
"Jitsu

Jitsu is a fast and easy open-source replacement for proprietary analytics stacks such as Google Analytics and Segment. It's a fully scriptable data ingestion engine for modern data teams. It enables you to set up a real-time data pipeline in minutes rather than days.

Features Highlight:

- Send data from anywhere:

To instal Jitsu you just select your framework and add a few lines of code to your app. It is built to be framework-agnostic, so regardless of your stack it will provide a solution that'll work for your team.

- Connect destination:

When you connect the data warehouse (Snowflake, Clickhouse, BigQuery, S3, Redshift or Postgres), you can query your data instantly. Jitsu can either stream data in real time or send it in micro-batches (up to once a minute). In addition to DWHs, Jitsu can push data to other services (Amplitude, Hubspot, Google Analytics, etc) or call any HTTP-api.

- Transform the data:

You can apply any transformation with Jitsu. Just write JavaScript code right in the UI to do anything with incoming data. The code editor supports code completion, debugging, etc. It feels like a full-featured IDE…

- Enrich the data:

Jitsu will automatically resolve user geo-location based on IP address, and will parse user agent to filter out bots and understand the device type. It can also pull data from 140+ external services to build a 100% accurate profile of your users.

https://octabyte.io/hosting-and-infrastructure/monitoring/jitsu

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #jitsu #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/jitsu/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/jitsu,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #jitsu #managedservices,"- Send data from anywhere:

To instal Jitsu you just select your framework and add a few lines of code to your app. It is built to be framework-agnostic, so regardless of your stack it will provide a solution that'll work for your team.

- Connect destination:

When you connect the data warehouse (Snowflake, Clickhouse, BigQuery, S3, Redshift or Postgres), you can query your data instantly. Jitsu can either stream data in real time or send it in micro-batches (up to once a minute). In addition to DWHs, Jitsu can push data to other services (Amplitude, Hubspot, Google Analytics, etc) or call any HTTP-api.

- Transform the data:

You can apply any transformation with Jitsu. Just write JavaScript code right in the UI to do anything with incoming data. The code editor supports code completion, debugging, etc. It feels like a full-featured IDE…

- Enrich the data:

Jitsu will automatically resolve user geo-location based on IP address, and will parse user agent to filter out bots and understand the device type. It can also pull data from 140+ external services to build a 100% accurate profile of your users.",Jitsu is an open-source web and app-event collection platform.,Jitsu
"Zabbix

Zabbix is a software that monitors numerous parameters of a network and the health and integrity of servers, virtual machines, applications, services, databases, websites, the cloud and more. Zabbix uses a flexible notification mechanism that allows users to configure e-mail based alerts for virtually any event. This allows a fast reaction to server problems. Zabbix offers excellent reporting and data visualization features based on the stored data.

Features Highlight:

- Detect problems instantly:

Forget about tracking your metrics manually. With Zabbix you can detect problem states within the incoming metric flow automatically: 
High performance problem detection in real-time,
Highly flexible definition options,
Separate problem and problem resolution conditions,
Multiple severity levels.

- Get alerted on critical issues:

Use multiple messaging channels to notify the responsible person or people about the different kinds of events occurring in your environment: Email,
SMS for reliable alerts using USB modems,
Online SMS gateways.

- Gain additional insights by powerful data visualization:

Define widget-based dashboards displaying relevant information:

Large selection of many different widgets,
Simple drag and drop placement and scaling of widgets,
Each widget is highly customizable to fit your needs.

- Create flexible widget based dashboards:

Zabbix web UI provides multiple ways of presenting a visual overview of your IT environment:
Widget-based multi-page dashboards,
Easy drag and drop widget placement,
Configure automatic dashboard refresh intervals.

https://octabyte.io/hosting-and-infrastructure/monitoring/zabbix

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #zabbix #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.ioNone,https://octabyte.io/hosting-and-infrastructure/monitoring/zabbix,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #zabbix #managedservices,"- Detect problems instantly:

Forget about tracking your metrics manually. With Zabbix you can detect problem states within the incoming metric flow automatically: 
High performance problem detection in real-time,
Highly flexible definition options,
Separate problem and problem resolution conditions,
Multiple severity levels.

- Get alerted on critical issues:

Use multiple messaging channels to notify the responsible person or people about the different kinds of events occurring in your environment: Email,
SMS for reliable alerts using USB modems,
Online SMS gateways.

- Gain additional insights by powerful data visualization:

Define widget-based dashboards displaying relevant information:

Large selection of many different widgets,
Simple drag and drop placement and scaling of widgets,
Each widget is highly customizable to fit your needs.

- Create flexible widget based dashboards:

Zabbix web UI provides multiple ways of presenting a visual overview of your IT environment:
Widget-based multi-page dashboards,
Easy drag and drop widget placement,
Configure automatic dashboard refresh intervals.",Zabbix is an enterprise-class open source distributed monitoring solution.,Zabbix
"Prometheus

Prometheus, a Cloud Native Computing Foundation project, is a systems and service monitoring system. It collects metrics from configured targets at given intervals, evaluates rule expressions, displays the results, and can trigger alerts when specified conditions are observed.

Features Highlight:

- Data model:

Prometheus fundamentally stores all data as time series: streams of timestamped values belonging to the same metric and the same set of labeled dimensions. Besides stored time series, Prometheus may generate temporary derived time series as the result of queries.

- Querying prometheus:

Prometheus provides a functional query language called PromQL (Prometheus Query Language) that lets the user select and aggregate time series data in real time. The result of an expression can either be shown as a graph, viewed as tabular data in Prometheus's expression browser, or consumed by external systems via the HTTP API.

- Grafana support for prometheus:

Grafana supports querying Prometheus. The Grafana data source for Prometheus is included since Grafana 2.5.0 (2015-10-28).

The following shows an example Grafana dashboard which queries Prometheus for data:

- Configuration:

Prometheus is configured via command-line flags and a configuration file. While the command-line flags configure immutable system parameters (such as storage locations, amount of data to keep on disk and in memory, etc.), the configuration file defines everything related to scraping jobs and their instances, as well as which rule files to load.

https://octabyte.io/hosting-and-infrastructure/monitoring/prometheus

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #prometheus #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/prometheus/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/prometheus,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #prometheus #managedservices,"- Data model:

Prometheus fundamentally stores all data as time series: streams of timestamped values belonging to the same metric and the same set of labeled dimensions. Besides stored time series, Prometheus may generate temporary derived time series as the result of queries.

- Querying prometheus:

Prometheus provides a functional query language called PromQL (Prometheus Query Language) that lets the user select and aggregate time series data in real time. The result of an expression can either be shown as a graph, viewed as tabular data in Prometheus's expression browser, or consumed by external systems via the HTTP API.

- Grafana support for prometheus:

Grafana supports querying Prometheus. The Grafana data source for Prometheus is included since Grafana 2.5.0 (2015-10-28).

The following shows an example Grafana dashboard which queries Prometheus for data:

- Configuration:

Prometheus is configured via command-line flags and a configuration file. While the command-line flags configure immutable system parameters (such as storage locations, amount of data to keep on disk and in memory, etc.), the configuration file defines everything related to scraping jobs and their instances, as well as which rule files to load.",Power your metrics and alerting with the leading open-source monitoring solution,Prometheus
"Nagios

Nagios provides monitoring of all mission-critical infrastructure components including applications, services, operating systems, network protocols, systems metrics, and network infrastructure. Hundreds of third-party addons provide for monitoring of virtually all in-house and external applications, services, and systems.

Features Highlight:

- Architectural Overview:

Nagios Core has been designed with a focused, extensible architecture that is designed for flexibility and scalability. It provides several APIs to allow its feature-set to be easily extended through additional addons. This architecture has proved to be successful and has spawned the creation of thousands of addon projects that extend its core feature set.

- General Scope:

The scope of Nagios Core is primarily focused the duties of check scheduling, check execution, check processing, event handling, and alerting. Performing checks, sending notifications, processing performance data, and many other tasks are generally out-of-scope for Nagios Core and are handled by other Nagios projects.

- Frontends:

Nagios Core has historically and still does ship with a default CGI interface. The CGIs provide Nagios users with the basic functionality required to view and manage elements that are monitored by Nagios Core. The CGIs have become the standard Nagios Core interface and are often used as an API by many Nagios extensions. Many users deploy additional frontends to customize the look, feel, and functionality of their Nagios UI. Nagios V-Shell is a new frontend that is currently being developed as the official PHP frontend to Nagios Core.

- Extended Features:

There is a rich variety of addons that provide additional features that are out-of-scope for Nagios Core itself, including configuration frontends, performance graphing, auto-discovery, and distributed monitoring, among others. These features are implemented in different Nagios projects, which are developed independently and can be found at Nagios Exchange.

https://octabyte.io/hosting-and-infrastructure/monitoring/nagios

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #infrastructure #nagios #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/nagios/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/nagios,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #infrastructure #nagios #managedservices,"- Architectural Overview:

Nagios Core has been designed with a focused, extensible architecture that is designed for flexibility and scalability. It provides several APIs to allow its feature-set to be easily extended through additional addons. This architecture has proved to be successful and has spawned the creation of thousands of addon projects that extend its core feature set.

- General Scope:

The scope of Nagios Core is primarily focused the duties of check scheduling, check execution, check processing, event handling, and alerting. Performing checks, sending notifications, processing performance data, and many other tasks are generally out-of-scope for Nagios Core and are handled by other Nagios projects.

- Frontends:

Nagios Core has historically and still does ship with a default CGI interface. The CGIs provide Nagios users with the basic functionality required to view and manage elements that are monitored by Nagios Core. The CGIs have become the standard Nagios Core interface and are often used as an API by many Nagios extensions. Many users deploy additional frontends to customize the look, feel, and functionality of their Nagios UI. Nagios V-Shell is a new frontend that is currently being developed as the official PHP frontend to Nagios Core.

- Extended Features:

There is a rich variety of addons that provide additional features that are out-of-scope for Nagios Core itself, including configuration frontends, performance graphing, auto-discovery, and distributed monitoring, among others. These features are implemented in different Nagios projects, which are developed independently and can be found at Nagios Exchange.",The Industry Standard In IT Infrastructure Monitoring,Nagios
"Canopsis

Mass centralization of multisource events. Automatic actions, semi-automatic
and user interventions on the events. Customizable table tops real time dashboards.

Features Highlight:

- Collect:

Supervision solutions, logs, ticketing tools, referrals / CMDB, business applications…

- Process:

Automatic actions, semi-automatic and user interventions on the events

- Dashboards:

Customizable table tops real time and different time (reporting). 
Alarms, service weather and monitoring tables are also available

- Unification of tools:

Canopsis streamlines the set of monitoring tools and other data sources in a single silo, a single interface

https://octabyte.io/hosting-and-infrastructure/monitoring/canopsis

#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #canopsis #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/monitoring/canopsis/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/monitoring/canopsis,#octabyte #opensource #devops #itservices #hosting #infrastructure #monitoring #canopsis #managedservices,"- Collect:

Supervision solutions, logs, ticketing tools, referrals / CMDB, business applications…

- Process:

Automatic actions, semi-automatic and user interventions on the events

- Dashboards:

Customizable table tops real time and different time (reporting). 
Alarms, service weather and monitoring tables are also available

- Unification of tools:

Canopsis streamlines the set of monitoring tools and other data sources in a single silo, a single interface",The first open-source hypervision solution,Canopsis
"MailCow

Mailcow is a Docker-based email server, based on Dovecot, Postfix and other open-source software, that provides a modern web UI for administration. The integrated UI allows administrative work on your mail server instance as well as separated domain administrator and mailbox user access. It's easy to provision and manage complex email applications.

Features Highlight:

- Easy to install, setup and manage:

Easy to manage, MailCow supports all the latest releases of Ubuntu and Debian, provides IPv6 and IPv4 communication standards and a DKIM generator per each domain from the UI.

- Fast mail client:

The mail client very easy to use, has API, and is fast.

- Excellent support:

The excellent MailCow support is continuously developed and improved.

- :



https://octabyte.io/hosting-and-infrastructure/email/mailcow

#octabyte #opensource #devops #itservices #hosting #infrastructure #email #mailcow #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/email/mailcow/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/email/mailcow,#octabyte #opensource #devops #itservices #hosting #infrastructure #email #mailcow #managedservices,"- Easy to install, setup and manage:

Easy to manage, MailCow supports all the latest releases of Ubuntu and Debian, provides IPv6 and IPv4 communication standards and a DKIM generator per each domain from the UI.

- Fast mail client:

The mail client very easy to use, has API, and is fast.

- Excellent support:

The excellent MailCow support is continuously developed and improved.

- :

","Mailcow is a mail server suite with an elegant web interface for managing domains, mailboxes, etc.",MailCow
"Postal

Postal is a complete, fully featured mail server for use by websites and web servers. It's similar to Sendgrid, Mailgun or Postmark but open-source and ready for you to run on your own servers. It  was developed by Krystal to serve its own mail processing requirements but then released as an open-source project.

Features Highlight:

- Click & open tracking:

Postal supports tracking opens and clicks from emails. This allows you to see when people open messages or they click links within them.

- IP pools:

Postal supports sending messages from different IP addresses. This allows you to configure certain sets of IPs for different mail servers or send from different IPs based on the sender or recipient addresses.

- Checking & monitoring:

Postal provides built-in DNS checking and monitoring to ensure that domains you send mail from are configured correctly for maximum deliverability.

- Live information:

You can set up webhooks to receive live information about delivery information in real time. Full access to the last 7 days of webhook requests are stored for debugging purposes.

https://octabyte.io/hosting-and-infrastructure/email/postal

#octabyte #opensource #devops #itservices #hosting #infrastructure #email #postal #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/email/postal/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/email/postal,#octabyte #opensource #devops #itservices #hosting #infrastructure #email #postal #managedservices,"- Click & open tracking:

Postal supports tracking opens and clicks from emails. This allows you to see when people open messages or they click links within them.

- IP pools:

Postal supports sending messages from different IP addresses. This allows you to configure certain sets of IPs for different mail servers or send from different IPs based on the sender or recipient addresses.

- Checking & monitoring:

Postal provides built-in DNS checking and monitoring to ensure that domains you send mail from are configured correctly for maximum deliverability.

- Live information:

You can set up webhooks to receive live information about delivery information in real time. Full access to the last 7 days of webhook requests are stored for debugging purposes.",Postal is a fully featured open-source mail delivery platform for incoming and outgoing email.,Postal
"Mailu

Mailu is a simple yet full-featured mail server as a set of Docker images. It is free software (both as in free beer and as in free speech), open to suggestions and external contributions.

Features Highlight:

- Standard email server:

IMAP and IMAP+, SMTP and Submission

- Advanced email features:

Advanced email features, aliases, domain aliases, custom routing

- Web Access:

Web access, multiple Webmails and administration interface

- Security:

Security, enforced TLS, Letsencrypt!, outgoing DKIM, anti-virus scanner

https://octabyte.io/hosting-and-infrastructure/email/mailu

#octabyte #opensource #devops #itservices #hosting #infrastructure #email #mailu #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/email/mailu/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/email/mailu,#octabyte #opensource #devops #itservices #hosting #infrastructure #email #mailu #managedservices,"- Standard email server:

IMAP and IMAP+, SMTP and Submission

- Advanced email features:

Advanced email features, aliases, domain aliases, custom routing

- Web Access:

Web access, multiple Webmails and administration interface

- Security:

Security, enforced TLS, Letsencrypt!, outgoing DKIM, anti-virus scanner",Mailu is an insular email distribution - mail server as Docker images,Mailu
"Nextcloud

Nextcloud is a self-hosted productivity platform that combines the convenience and ease of use of consumer-grade solutions like Dropbox and Google Drive with the security, privacy, and control that business needs.

Features Highlight:

- Access to files wherever you are:

With Nextcloud, you pick a server at home, in a data center, or at a provider, and your files will be there. With Nextcloud running on that server, your data is protected and you can access it from your desktop or mobile devices. You can also access, sync, and share your data on that FTP drive at school, on Dropbox, or on a NAS you have at home.

- Protect, control and monitor:

With Nextcloud, you can protect, control and monitor data and communication across your company; ensure compliance with business and legal requirements, and keep your data on servers you own, at all times. Nothing leaks, not even metadata.

- Multi-platform productivity:

You can enable productivity across any platform, whether in the office or on the road, to share, collaborate and communicate across organizational boundaries. Nextcloud provides transparent access to data on any storage.

- Community:

A thriving, transparent, entirely open-source community development model ensures constant improvements, free of lock-ins or paywalls, and enterprise support when you need it.

https://octabyte.io/hosting-and-infrastructure/storage/nextcloud

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #nextcloud #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/nextcloud/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/storage/nextcloud,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #nextcloud #managedservices,"- Access to files wherever you are:

With Nextcloud, you pick a server at home, in a data center, or at a provider, and your files will be there. With Nextcloud running on that server, your data is protected and you can access it from your desktop or mobile devices. You can also access, sync, and share your data on that FTP drive at school, on Dropbox, or on a NAS you have at home.

- Protect, control and monitor:

With Nextcloud, you can protect, control and monitor data and communication across your company; ensure compliance with business and legal requirements, and keep your data on servers you own, at all times. Nothing leaks, not even metadata.

- Multi-platform productivity:

You can enable productivity across any platform, whether in the office or on the road, to share, collaborate and communicate across organizational boundaries. Nextcloud provides transparent access to data on any storage.

- Community:

A thriving, transparent, entirely open-source community development model ensures constant improvements, free of lock-ins or paywalls, and enterprise support when you need it.","Nextcloud provides an industry-leading, on-premises content collaboration platform.",Nextcloud
"PhotoPrism

PhotoPrism is an AI-powered app for browsing, organizing & sharing your photo collection. It makes use of the latest technologies to tag and find pictures automatically without getting in your way. You can run it at home, on a private server, or in the cloud.

Features Highlight:

- Supports All Format:

Browse all your photos and videos without worrying about RAW conversion, duplicates or video formats

- Easy Search:

Easily find specific pictures using powerful search filters

- Face Recogonition:

Recognizes the faces of your family and friends

- Live Photos:

Play Live Photos by hovering over them in albums and search results

https://octabyte.io/hosting-and-infrastructure/storage/photoprism

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #photoprism #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/photoprism/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/storage/photoprism,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #photoprism #managedservices,"- Supports All Format:

Browse all your photos and videos without worrying about RAW conversion, duplicates or video formats

- Easy Search:

Easily find specific pictures using powerful search filters

- Face Recogonition:

Recognizes the faces of your family and friends

- Live Photos:

Play Live Photos by hovering over them in albums and search results","PhotoPrism is an AI-powered app for browsing, organizing & sharing your photo collection",PhotoPrism
"Syncthing

Syncthing is a free, open-source, peer-to-peer file synchronization application available for Windows, macOS, Linux, Android, Solaris, Darwin, and BSD. It can sync files between devices on a local network, or between remote devices over the Internet. Data security and data safety are built into the design of the software. It synchronizes files in real time, safely protected from prying eyes.

Features Highlight:

- Data secure:

Syncthing does not upload your data to the cloud but exchanges it across your machines as soon as they are online at the same time.

- Transparent:

Syncthing uses an open and documented protocol. The security mechanisms in use are well defined and visible in the source code.

- In control:

In Syncthing, you set up both sides to connect two devices. An attacker can’t do much with a stolen device ID, because you have to add the device on the other side too. You have better control where your files are transferred.

- Rapid synchronization:

Syncthing segments files into pieces, called blocks, to transfer data from one device to another. Therefore, multiple devices can share the synchronization load, in a similar way to the Torrent protocol. The more devices you have online, the faster an additional device will receive the data because small blocks will be fetched from all devices in parallel.

https://octabyte.io/hosting-and-infrastructure/storage/syncthing

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #syncthing #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/syncthing/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/storage/syncthing,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #syncthing #managedservices,"- Data secure:

Syncthing does not upload your data to the cloud but exchanges it across your machines as soon as they are online at the same time.

- Transparent:

Syncthing uses an open and documented protocol. The security mechanisms in use are well defined and visible in the source code.

- In control:

In Syncthing, you set up both sides to connect two devices. An attacker can’t do much with a stolen device ID, because you have to add the device on the other side too. You have better control where your files are transferred.

- Rapid synchronization:

Syncthing segments files into pieces, called blocks, to transfer data from one device to another. Therefore, multiple devices can share the synchronization load, in a similar way to the Torrent protocol. The more devices you have online, the faster an additional device will receive the data because small blocks will be fetched from all devices in parallel.","Syncthing is a free, continuous, multiple-device file synchronization program.",Syncthing
"Filestash

Filestash is a web app, with a free version, that connects to existing storage backend like FTP or S3. It can be self-hosted or on the cloud. It's best for companies that need tools to manage their back-office. Filestash aims to solve the Dropbox problem by abstracting the storage aspect. This makes it possible to bring your own backend or create your own by implementing a simple interface. If familiar with Dropbox, people can easily interact with complex systems without prior training.

Features Highlight:

- Simple data management:

Filestash lets you access and manage your data in a simple way – regardless of where that data is stored.

- Easy collaboration:

With its flexible sharing mechanism, Filestash allows the creation of shared links that can be mounted as a network drive.

- Open-source:

The entire source code of Filestash is available on GitHub.

- Highly secure:

Filestash has passed an aggressive security audit to deploy in a F500 company.

https://octabyte.io/hosting-and-infrastructure/storage/filestash

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #filestash #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/filestash/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/storage/filestash,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #filestash #managedservices,"- Simple data management:

Filestash lets you access and manage your data in a simple way – regardless of where that data is stored.

- Easy collaboration:

With its flexible sharing mechanism, Filestash allows the creation of shared links that can be mounted as a network drive.

- Open-source:

The entire source code of Filestash is available on GitHub.

- Highly secure:

Filestash has passed an aggressive security audit to deploy in a F500 company.",Filestash is a Dropbox-like file manager that lets you manage your data anywhere it is located.,Filestash
"ownCloud

ownCloud is a suite of client–server software for creating and using file hosting services. ownCloud functionally has similarities to the widely used Dropbox. It enables you to share and sync data and keep it safe, on all platforms.

Features Highlight:

- Data storage control:

You can deploy ownCloud in your own datacenter on-premises, at a trusted service provider or choose ownCloud.online, the software-as-a-service collaboration platform hosted in Germany. You can increase security through measures like multi-factor authentication, encryption and file lifecycle management.

- Control access to your data:

With ownCloud, you can give staff an easy, flexible and secure way to share files and folders; safely involve contacts outside your organization with select documents, and share public links shielded by passwords and expiration dates. You don't have to worry about slow VPN connections, unversioned documents attached to emails, and shadow IT in public clouds of questionable security

- Increase productivity:

ownCloud helps teams collaborate from anywhere and from any device. They can store, share and work on their data and documents through a single point of access, work simultaneously on documents, create presentations together in real time, annotate files, etc. This saves time on coordination and feedback processes.

- Sync and share files:

With ownCloud, you can store your files, contacts, calendars, etc on a server of your choice; keep your files, contacts, calendars, etc synchronized among your devices; share your data and give access to your latest photo galleries, calendar and so on. ownCloud is expandable with dozens of apps. And you can encrypt data in transit with secure https connections, and also enable the encryption app to encrypt data on storage for improved security and privacy.

https://octabyte.io/hosting-and-infrastructure/storage/owncloud

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #owncloud #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/owncloud/screenshot-1.jpg,https://octabyte.io/hosting-and-infrastructure/storage/owncloud,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #owncloud #managedservices,"- Data storage control:

You can deploy ownCloud in your own datacenter on-premises, at a trusted service provider or choose ownCloud.online, the software-as-a-service collaboration platform hosted in Germany. You can increase security through measures like multi-factor authentication, encryption and file lifecycle management.

- Control access to your data:

With ownCloud, you can give staff an easy, flexible and secure way to share files and folders; safely involve contacts outside your organization with select documents, and share public links shielded by passwords and expiration dates. You don't have to worry about slow VPN connections, unversioned documents attached to emails, and shadow IT in public clouds of questionable security

- Increase productivity:

ownCloud helps teams collaborate from anywhere and from any device. They can store, share and work on their data and documents through a single point of access, work simultaneously on documents, create presentations together in real time, annotate files, etc. This saves time on coordination and feedback processes.

- Sync and share files:

With ownCloud, you can store your files, contacts, calendars, etc on a server of your choice; keep your files, contacts, calendars, etc synchronized among your devices; share your data and give access to your latest photo galleries, calendar and so on. ownCloud is expandable with dozens of apps. And you can encrypt data in transit with secure https connections, and also enable the encryption app to encrypt data on storage for improved security and privacy.",ownCloud is a suite of client-server software for creating and using file hosting services.,ownCloud
"Paperless-ngx

A community-supported supercharged version of paperless: scan, index and archive all your physical documents. Paperless-ngx is a document management system that transforms your physical documents into a searchable online archive so you can keep, well, less paper.

Features Highlight:

- OCR:

Performs OCR on your documents, adds selectable text to image only documents and adds tags, correspondents and document types to your documents.

- Storage:

Paperless stores your documents plain on disk. Filenames and folders are managed by paperless and their format can be configured freely.

- Single Page Application Frontend:

Includes a dashboard that shows basic statistics and has document upload. Filtering by tags, correspondents, types, and more.
Customizable views can be saved and displayed on the dashboard.

- Full Text Search:

Auto completion suggests relevant words from your documents. Results are sorted by relevance to your search query.
Highlighting shows you which parts of the document matched the query. Searching for similar documents (""More like this"")

https://octabyte.io/hosting-and-infrastructure/storage/paperless-ngx

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #paperlessngx #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/paperless-ngx/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/storage/paperless-ngx,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #paperlessngx #managedservices,"- OCR:

Performs OCR on your documents, adds selectable text to image only documents and adds tags, correspondents and document types to your documents.

- Storage:

Paperless stores your documents plain on disk. Filenames and folders are managed by paperless and their format can be configured freely.

- Single Page Application Frontend:

Includes a dashboard that shows basic statistics and has document upload. Filtering by tags, correspondents, types, and more.
Customizable views can be saved and displayed on the dashboard.

- Full Text Search:

Auto completion suggests relevant words from your documents. Results are sorted by relevance to your search query.
Highlighting shows you which parts of the document matched the query. Searching for similar documents (""More like this"")","Paperless-ngx is a document management system that transforms your physical documents into a searchable online archive so you can keep, well, less paper.",Paperless-ngx
"ArchiveBox

ArchiveBox is a powerful, self-hosted internet archiving solution to collect, save, and view sites you want to preserve offline.

Features Highlight:

- Powerfull, intuitive command line interface:

ArchiveBox comes with a command-line app that works directly from your terminal, a web application that works seamlessly in all modern browsers, and a new released desktop app that works for Windows, Linux, and macOS.

- Scheduled Archiving:

ArchiveBox contains a built-in scheduler that supports pulling in URLs regularly from the web or from the local filesystem.
ArchiveBox ignores links that are imported multiple times (keeping the earliest version that it's seen). This means you can add cron jobs that regularly poll the same file or URL for new links, adding only new ones as necessary, or you can pass --overwrite to save a fresh copy each time the scheduled task runs.Uses standard, durable, long-term formats

- Uses standard, durable, long-term formats:

ArchiveBox supports many input formats for URLs, including Pocket & Pinboard exports, Browser bookmarks, Browser history, plain text, HTML, markdown, and more!

- Archive Layout:

All of ArchiveBox's state (including the index, snapshot data, and config file) is stored in a single folder called the ""ArchiveBox data folder"". All archivebox CLI commands must be run from inside this folder, and you first create it by running archivebox init.

https://octabyte.io/hosting-and-infrastructure/storage/archivebox

#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #archivebox #managedservices",/Users/haider/codeplace/octabyte/octabytes.github.io/images/hosting-and-infrastructure/storage/archivebox/screenshot-1.png,https://octabyte.io/hosting-and-infrastructure/storage/archivebox,#octabyte #opensource #devops #itservices #hosting #infrastructure #storage #archivebox #managedservices,"- Powerfull, intuitive command line interface:

ArchiveBox comes with a command-line app that works directly from your terminal, a web application that works seamlessly in all modern browsers, and a new released desktop app that works for Windows, Linux, and macOS.

- Scheduled Archiving:

ArchiveBox contains a built-in scheduler that supports pulling in URLs regularly from the web or from the local filesystem.
ArchiveBox ignores links that are imported multiple times (keeping the earliest version that it's seen). This means you can add cron jobs that regularly poll the same file or URL for new links, adding only new ones as necessary, or you can pass --overwrite to save a fresh copy each time the scheduled task runs.Uses standard, durable, long-term formats

- Uses standard, durable, long-term formats:

ArchiveBox supports many input formats for URLs, including Pocket & Pinboard exports, Browser bookmarks, Browser history, plain text, HTML, markdown, and more!

- Archive Layout:

All of ArchiveBox's state (including the index, snapshot data, and config file) is stored in a single folder called the ""ArchiveBox data folder"". All archivebox CLI commands must be run from inside this folder, and you first create it by running archivebox init.","ArchiveBox is a powerful, self-hosted internet archiving solution to collect, save, and view sites you want to preserve offline.",ArchiveBox
